Tube ID,Easting,Northing,Z,Area,Date,Veg,GWL,SM,VVI,VARI,NDTI,RI,SCI,BI,SI,HI,TGI,GLI,NGRDI,GRVI,GLAI,HUE,CI,SAT,SHP,ERGBVE,ExG,NDI,NDVI,PlnCurv,ProfCurv,RGI,Slope,Temperature,TPI,TRI1,TRI4,TWI,VDVI,VRM1,VRM4,WEI
44,-831770945,-1150091482,1097.56,LP,7/1/2019,Ts,22.2,12.25,0.004826963,0.016666667,-0.013071895,9.28E-05,-0.013071895,125.110619,0.391705066,0.91011236,5480,0.176470593,0.013071895,0.013071896,1.666666627,-1.568348498,0.562913907,0.574193548,-1.573033708,1.299391,0.615894,129.673203,0.38326,-6.850489,1.393494,0.974194,0.214738,18.5767,0,0.003144,0.007285,-6.177997,0.176471,0.001064,0.006726,0.981589
45,-831789459,-1150084473,1097248,LP,7/1/2019,Ts,10.7,2.86,0.009488776,0.033898305,-0.021276596,0.000136667,-0.021276596,77.07139547,0.135802463,0.692307692,1700,0.084745765,0.021276596,0.021276595,2.097457647,-1.562870297,0.239130435,0.270833333,-5.692307692,0.557042,0.326087,130.723404,0.383581,-4.248861,3.411034,0.958333,0.324183,18.51025,0.000854,0.001314,0.013673,-5.381381,0.084746,0.005075,0.010333,0.969475
46,-831810486,-1150075.44,1094589,LP,7/1/2019,Ts,28.6,2.42,0.001860223,-0.020408163,0.013477089,4.58E-05,0.013477089,151.7508945,0.197452232,1.175438596,3245,0.076470591,-0.013477089,-0.013477089,0.739795923,-1.568585224,0.329787234,0.329787234,-4.245614035,0.555118,0.287234,126.623657,0.335817,0,0,1.021739,0.208663,18.217649,0,0.002328,0.014215,-5.868056,0.079179,2.00E-05,0.005544,0.960812
47,-831755098,-1150097.02,1096403,LP,7/1/2019,Ts,9.5,6.98,0.003380365,0.09375,-0.066666667,5.01E-05,-0.066666667,129.1188058,0.235294119,0.454545455,5355,0.170731708,0.066666667,0.06666667,3.59375,-1.569028008,0.380952381,0.458333333,-2.909090909,1.121204,0.666667,136.53334,0.365624,33.691746,0.735433,875,0.010374,19.041201,0.000366,0.005041,0.006677,-0.769547,0.170732,0.000229,0.014055,1.005521
48,-831741.56,-1150109167,1098139,LP,7/1/2019,Ts,3.8,10.4,0.001930726,-0.048507463,0.033942559,5.38E-05,0.033942559,156.6939693,0.26517573,1.371428571,3745,0.083455347,-0.033942559,-0.033942558,0.037313461,-1.568660476,0.419191919,0.419191919,-2.914285714,0.631405,0.287879,123.65535,0.369439,-5.816706,2.264411,1.07027,0.262888,18.129101,0.000366,0.003265,0.014801,-2.651549,0.083455,0.001614,0.006452,0.9681
49,-831753755,-1150124899,1097546,LP,7/1/2019,Ts,8.7,11.56,0.004741044,-0.075892857,0.057627119,0.000127628,0.057627119,120.8290817,0.374449342,1.5,3485,0.100990102,-0.057627119,-0.057627119,-0.647321463,-1.566643301,0.544871795,0.544871795,-1.588235294,0.852137,0.326923,120.623726,0.207071,22.323322,-2.869604,1.122302,0.099773,18.027849,-0.000244,0.003424,0.005453,-3.008648,0.10099,0.002811,0.005047,0.968267
50,-831769702,-1150119747,1097487,LP,7/1/2019,Ts,5.7,9.44,0.007062745,0.00952381,-0.007518797,0.000129314,-0.007518797,108.7688696,0.404255331,0.948717949,4750,0.175438598,0.007518797,0.007518797,1.488095284,-1.567425429,0.575757576,0.582089552,-1.487179487,1.286227,0.598485,128.962402,0.269214,-0.043451,-0.4979,0.985075,0.212734,18.33235,-0.000244,0.004865,0.008067,-5.144042,0.172867,0.000798,0.003503,0.983104
51,-831786706,-1150115207,1097119,LP,7/1/2019,Ts,15.2,9.87,0.019076324,-0.045112782,0.042253521,0.000483765,0.042253521,116.0976614,0.783132553,1.203389831,6660,0.242009133,-0.042253521,-0.04225352,0.122180462,-1.549260109,0.878378378,0.878378378,-0.101694915,2.350551,0.716216,122.591553,0.29618,-31.114902,-5.311537,1.088235,0.149283,18.68005,-0.003296,0.000433,0.010544,-2.994974,0.242009,0.003533,0.008938,0.978837
52,-831801643,-1150111868,1097036,LP,7/1/2019,Ts,13.7,9,0.008468207,0.024793388,-0.021126761,0.000150896,-0.021126761,116.0890477,0.53591162,0.883495146,6390,0.231422499,0.021126761,0.02112676,1.869834661,-1.56771179,0.697841727,0.710344828,-0.932038835,1.783115,0.785714,130.685318,0.248083,12.800774,0.08344,0.958904,0.01467,18.334049,0,0.000833,0.000705,0.825395,0.232068,4.00E-06,6.00E-06,0.978511
53,-831830925,-1150133.47,1095879,LP,7/1/2019,Ts,23,6.74,0.00618831,0.038095238,-0.029411765,0.000102417,-0.029411765,111.2774325,0.360824734,0.794871795,4960,0.181434602,0.029411765,0.029411765,2.202380896,-1.568003294,0.53030303,0.557142857,-1.794871795,1.290829,0.651515,131.764709,0.291713,0,-0.406899,0.942857,0.002035,18.68775,-0.000122,0.002587,0.00484,1.815912,0.181435,0.000489,0.003892,0.964473
